,product_id,product_title,rating,summary,review,name,location,date,upvotes,downvotes
168,ACCFRWVBWVBHHCXG,"KWINE CASE Back Cover for Samsung Galaxy F41, Samsung Galaxy M31, Samsung Galaxy M21 2021",5,Classy product,Thanks nice one,Diki  Malakar ,North Goa District,1 month ago,0,0
599,AICEQVHUD9VZC4EG,Orient Electric 20 L Room/Personal Air Cooler,1,Don't waste your money,there is no cooling in room...you have to put you head in front of cooler.....,VISHWAJEET  LAL,Bilaspur,"Apr, 2019",11,8
375,AICFFVVJFQHHNCN8,CROMPTON 88 L Desert Air Cooler,4,Really Nice,working good and so airy,Surabhi  Kumari,Patna,"Jul, 2019",2,1
148,ACCEZ3YWU75CERHH,ZEBRONICS ZEB-KM-2100 Wired USB Desktop Keyboard,4,Value-for-money,nice product,Nayan  Halder,Nebadhai Duttapukur,"Nov, 2018",1,0
192,ACCFX6XRVG54GWXH,"Casewilla Back Cover for Apple iPhone 12, Plain, Cover",4,Pretty good,Perfect fitting for iPhone 12,Harshal Patil,Nimbhore Budruk,1 month ago,0,0
1171,AICFNNBW9EB2S9ZA,Symphony 55 L Tower Air Cooler,5,Best in the market!,Superb,Gunjal Bapusaheb Apparao,Pandharpur,"Mar, 2021",5,4
373,ACCFH7H8FG6GZMKB,"Flipkart SmartBuy Back Cover for Samsung Galaxy A20, Samsung Galaxy A30, Samsung Galaxy M10S",4,Nice product,Awesome products,Dhajen Barman,Sonapur Gaon,8 days ago,0,0
1027,AICGC6YYNZJHZTCA,CROMPTON 75 L Desert Air Cooler,5,Worth every penny,Excellent ..meet requirements .. heavy duty . Less noise . Work like an  AC..good light designed body,shakti prada khadanga,Hyderabad,"Mar, 2017",93,24
335,ACCE94WY6QPXKXFN,HP C2500 Wired Combo keyboard and Mouse,5,Excellent,"Pros :Lightt weight mouse Good keyboard like typing classNum lock light , Caps lock is goodcons :No Music dedicated keysMouse too light weight , cheap plasticMouse finishing not goodCons are fine as price of the combo is cheaper",Balaji v,Bengaluru,"May, 2018",0,0
45,ACCFZUG7KF9ATX9H,"Casotec Back Cover for Samsung Galaxy M12, Samsung Galaxy A12, Samsung Galaxy F12 Clear TPU Case",5,Fabulous!,GOOD BACK COVER,ASHISH KUMAR,Mirzapur,4 months ago,0,0
249,ACCFBZGVBKU3MNFY,HP 100 Wired USB Desktop Keyboard,3,Fair,Good,ROHIT KUMAR,Vellore District,"Mar, 2021",1,0
521,AICEQGBHB75HSWGG,CROMPTON 75 L Desert Air Cooler,5,Super!Excelleant product,Delievered in just 24 hours after the order which is in good condition as it is well packed. Cooling was very good when compared to previous coolers. Worth the money paid for it. Good service too,Dulla Chandra Sekhar,Hyderabad,"Apr, 2019",1,0
619,ACCEGVTXGKZDXFRX,AMKETTE Xcite Neo Mouse & Wired USB Laptop Keyboard,5,Worth every penny,it is very useful and work both desktop and laptop it is very stylist i really like it..,Vinit Raj.,Gaya,"Dec, 2018",0,0
878,ACCES6YFGJFF7GFJ,QUANTUM QHM7307 MINI MULTIMEDIA KEYBOARD Wired USB Multi-device Keyboard,2,Bad quality,Poor quality,Nilesh Baraiya,Rajkot,"Dec, 2019",0,0
198,ACCFDK469A9W96HJ,ZEBRONICS Zeb-K20 Wired USB Desktop Keyboard,3,Good,Nice,vanaliya rakesh,Surendranagar,"Jun, 2020",2,0
1131,AICFNNBW9EB2S9ZA,Symphony 55 L Tower Air Cooler,1,Hated it!,Very bad waste of your money dont bye this product..,R.sasikumar sasi,Periyamanali,"May, 2020",12,1
154,ACCFRWVBWVBHHCXG,"KWINE CASE Back Cover for Samsung Galaxy F41, Samsung Galaxy M31, Samsung Galaxy M21 2021",5,Classy product,Good,vinith kumar ,Bengaluru,27 days ago,0,0
32,AICERF3ZMFAYK4ZC,Hindware 85 L Desert Air Cooler,5,Mind-blowing purchase,I bought this super cooler 2 days before and fully satisfied with its performance....in day time it gives u best cooling effect as temp is 35 to 36 degree outside and in nite time u cannt sleep without a sheet on u.... i use to switch off this beast at 2 am.... just go 4 it...,kunal sahni,Pinjore,11 months ago,9,2
632,AICEQVHUD9VZC4EG,Orient Electric 20 L Room/Personal Air Cooler,1,Horrible,"Poor quality, not satisfied with product.",milan raval,Surat,11 months ago,2,1
